	Symbol_hg	Symbol_mm	ID
1	JAML	Jaml	JAML_Jaml
2	FAM234A	Fam234a	FAM234A_Fam234a
3	TSPAN33	Tspan33	TSPAN33_Tspan33
4	MDN1	Mdn1	MDN1_Mdn1
5	DOP1B	Dop1b	DOP1B_Dop1b
6	PIGV	Pigv	PIGV_Pigv
7	TNFSF12	Tnfsf12	TNFSF12_Tnfsf12
8	MYBPC2	Mybpc2	MYBPC2_Mybpc2
9	C17orf50	1700020L24Rik	C17orf50_1700020L24Rik
10	TMEM123	Tmem123	TMEM123_Tmem123
11	TRIM16	Trim16	TRIM16_Trim16
12	ZCCHC9	Zcchc9	ZCCHC9_Zcchc9
13	CCR9	Ccr9	CCR9_Ccr9
14	PPP1R14D	Ppp1r14d	PPP1R14D_Ppp1r14d
15	TNKS2	Tnks2	TNKS2_Tnks2
16	WDR7	Wdr7	WDR7_Wdr7
17	IQCD	Iqcd	IQCD_Iqcd
18	CYP26C1	Cyp26c1	CYP26C1_Cyp26c1
19	WNT9A	Wnt9a	WNT9A_Wnt9a
20	LCP1	Lcp1	LCP1_Lcp1
21	FXYD2	Fxyd2	FXYD2_Fxyd2
22	MMP12	Mmp12	MMP12_Mmp12
23	OXTR	Oxtr	OXTR_Oxtr
24	TEX28	Tex28	TEX28_Tex28
25	SZT2	Szt2	SZT2_Szt2
26	KBTBD4	Kbtbd4	KBTBD4_Kbtbd4
27	DENND10	Dennd10	DENND10_Dennd10
28	KIF18A	Kif18a	KIF18A_Kif18a
29	MAL	Mal	MAL_Mal
30	ARFRP1	Arfrp1	ARFRP1_Arfrp1
31	C1orf109	9930104L06Rik	C1orf109_9930104L06Rik
32	ERGIC1	Ergic1	ERGIC1_Ergic1
33	KCNE5	Kcne1l	KCNE5_Kcne1l
34	OXGR1	Oxgr1	OXGR1_Oxgr1
35	MICALL2	Micall2	MICALL2_Micall2
36	AUNIP	Aunip	AUNIP_Aunip
37	DMRTA2	Dmrta2	DMRTA2_Dmrta2
38	CLPSL2	Clpsl2	CLPSL2_Clpsl2
39	MAMDC2	Mamdc2	MAMDC2_Mamdc2
40	LURAP1L	Lurap1l	LURAP1L_Lurap1l
41	NEXMIF	Nexmif	NEXMIF_Nexmif
42	EIF5B	Eif5b	EIF5B_Eif5b
43	FEZF2	Fezf2	FEZF2_Fezf2
44	PTN	Ptn	PTN_Ptn
45	GDPGP1	Gdpgp1	GDPGP1_Gdpgp1
46	TAS2R60	Tas2r135	TAS2R60_Tas2r135
47	RFX1	Rfx1	RFX1_Rfx1
48	ALPK2	Alpk2	ALPK2_Alpk2
49	ZBTB26	Zbtb26	ZBTB26_Zbtb26
50	EMB	Emb	EMB_Emb
51	ANKRD60	Ankrd60	ANKRD60_Ankrd60
52	ADGRF2	Adgrf2	ADGRF2_Adgrf2
53	CARNMT1	Carnmt1	CARNMT1_Carnmt1
54	TEC	Tec	TEC_Tec
55	CHMP4C	Chmp4c	CHMP4C_Chmp4c
56	CAPN15	Capn15	CAPN15_Capn15
57	ABHD3	Abhd3	ABHD3_Abhd3
58	LRFN4	Lrfn4	LRFN4_Lrfn4
59	DAPK3	Dapk3	DAPK3_Dapk3
60	PHYKPL	Phykpl	PHYKPL_Phykpl
61	FIGLA	Figla	FIGLA_Figla
62	RNF146	Rnf146	RNF146_Rnf146
63	SPHK1	Sphk1	SPHK1_Sphk1
64	RPUSD1	Rpusd1	RPUSD1_Rpusd1
65	NLRP9	Nlrp9b	NLRP9_Nlrp9b
66	METTL9	Mettl9	METTL9_Mettl9
67	DDHD1	Ddhd1	DDHD1_Ddhd1
68	GCHFR	Gchfr	GCHFR_Gchfr
69	NYNRIN	Nynrin	NYNRIN_Nynrin
70	CHMP1B	Chmp1b	CHMP1B_Chmp1b
71	FLI1	Fli1	FLI1_Fli1
72	LARP4	Larp4	LARP4_Larp4
73	SYN3	Syn3	SYN3_Syn3
74	OMG	Omg	OMG_Omg
75	IFT80	Ift80	IFT80_Ift80
